105011,348493,0,201920,1
91517,248774,0,201819,7
92189,235897,0,201819,12
791,2219,0,202021,10
8212,15612,0,202021,1
95657,253798,0,201819,10
904,2149,0,202021,11
88517,236186,0,201819,4
104299,309418,0,201920,9
89,92,0,202021,6
86247,233206,0,201819,2
106304,326870,0,201920,11
104,122,0,202021,2
82,91,0,202021,4
84733,220098,0,201819,6
82525,214294,0,201819,1
110598,364961,0,201920,4
107952,337673,0,201920,6
107,110,0,202021,5
787,1699,0,202021,12
101935,320146,0,201920,3
93,99,0,202021,7
90661,241963,0,201819,8
111053,341881,0,201920,7
460,885,0,201819,NULL
96,100,0,202021,9
106137,298968,0,201920,12
107287,320123,0,201920,8
87559,226459,0,201819,9
115160,341280,0,201920,10
88996,240151,0,201819,5
245,1127,0,202021,NULL
87122,223959,0,201819,3
96,100,0,202021,3
104608,325621,0,201920,5
106460,348764,0,201920,2
88096,223724,0,201819,11
95,103,0,202021,8
