"","age group","sex","In HCD dataset","Number of patients","Total patients - by sex","Distribution of patients across age groups"
"1","0-9","F","No",1244818,11623335,0.107096457256028
"2","0-9","F","Yes",2437,101596,0.0239871648490098
"3","0-9","M","No",1311321,11640791,0.112648788213791
"4","0-9","M","Yes",3109,96061,0.032364851500609
"5","10-19","F","No",1282360,11623335,0.110326339213315
"6","10-19","F","Yes",3235,101596,0.0318418047954644
"7","10-19","M","No",1348521,11640791,0.115844447340391
"8","10-19","M","Yes",3883,96061,0.0404222317069362
"9","20-29","F","No",1459202,11623335,0.12554073336095
"10","20-29","F","Yes",4736,101596,0.0466160085042718
"11","20-29","M","No",1474829,11640791,0.126694912742613
"12","20-29","M","Yes",4012,96061,0.0417651284079908
"13","30-39","F","No",1617461,11623335,0.139156360889538
"14","30-39","F","Yes",9125,101596,0.089816528209772
"15","30-39","M","No",1669359,11640791,0.143405976449539
"16","30-39","M","Yes",7461,96061,0.0776693975702939
"17","40-49","F","No",1468794,11623335,0.12636596983568
"18","40-49","F","Yes",13200,101596,0.129926375054136
"19","40-49","M","No",1563269,11640791,0.134292334601661
"20","40-49","M","Yes",10323,96061,0.107462966240202
"21","50-59","F","No",1570566,11623335,0.135121804542328
"22","50-59","F","Yes",18547,101596,0.182556399858262
"23","50-59","M","No",1624034,11640791,0.139512340699184
"24","50-59","M","Yes",15606,96061,0.162459270671761
"25","60-69","F","No",1251879,11623335,0.107703942112999
"26","60-69","F","Yes",18897,101596,0.186001417378637
"27","60-69","M","No",1229951,11640791,0.105658713398428
"28","60-69","M","Yes",18688,96061,0.194543050769823
"29","70-79","F","No",1042945,11623335,0.0897285503687195
"30","70-79","F","Yes",19338,101596,0.190342139454309
"31","70-79","M","No",944582,11640791,0.0811441421807161
"32","70-79","M","Yes",21559,96061,0.224430309907246
"33","80-89","F","No",545253,11623335,0.0469102026225692
"34","80-89","F","Yes",10163,101596,0.100033465884484
"35","80-89","M","No",408320,11640791,0.035076654155203
"36","80-89","M","Yes",10221,96061,0.106401140941693
"37","90+","F","No",140057,11623335,0.0120496397978721
"38","90+","F","Yes",1918,101596,0.018878696011654
"39","90+","M","No",66605,11640791,0.00572169021847399
"40","90+","M","Yes",1199,96061,0.0124816522834449
